,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,source,ID
0,2018-05-30,1527663600,67.9,57.6,61.8,67.9,57.6,61.8,56.3,82.8,0.02,100.0,8.33,['rain'],0.0,0.0,,9.1,165.7,1010.4,98.6,8.3,67.9,6.0,3.0,05:43:30,1527684210,19:59:24,1527735564,0.51,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,obs,3721
1,2017-08-02,1501657200,94.5,56.9,73.6,90.9,56.9,72.8,53.5,56.3,0.0,0.0,0.0,,0.0,0.0,20.9,14.3,284.3,1010.4,7.9,9.8,290.5,25.2,9.0,06:13:29,1501679609,20:17:00,1501730220,0.38,Clear,Clear conditions throughout the day.,clear-day,obs,2833
2,2015-08-12,1439355600,100.2,73.1,87.0,97.8,73.1,85.6,53.6,33.8,0.0,0.0,0.0,,0.0,0.0,32.2,15.9,118.1,1016.7,15.8,9.8,312.5,27.1,10.0,07:12:08,1439381528,20:36:32,1439429792,0.98,Clear,Clear conditions throughout the day.,clear-day,obs,729
3,2021-01-14,1610604000,61.2,40.0,49.6,61.2,33.4,46.9,35.0,60.76,0.0,,0.0,,0.0,0.0,23.0,11.1,260.9,1013.7,0.0,9.9,560.3,24.2,10.0,07:20:38,1610630438,17:38:18,1610667498,0.01,Clear,Clear conditions throughout the day.,clear-day,obs,6523
4,2021-01-09,1610168400,50.7,32.0,40.2,50.7,28.8,36.7,31.4,73.3,0.04,100.0,4.17,"['rain', 'snow']",0.0,0.0,,10.3,318.5,1016.5,17.1,8.7,116.8,10.1,5.0,07:24:29,1610195069,17:23:37,1610231017,0.92,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,obs,6489
5,2018-02-01,1517464800,35.0,11.0,22.2,31.1,-1.4,11.7,7.7,54.0,0.0,0.0,0.0,,0.0,0.0,29.6,16.1,309.8,1022.6,7.4,9.9,57.4,5.0,4.0,07:08:19,1517490499,17:16:18,1517526978,0.51,Clear,Clear conditions throughout the day.,clear-day,obs,3371
6,2015-07-27,1437976800,94.3,58.9,76.4,90.4,58.9,75.2,50.3,48.9,0.0,0.0,0.0,,0.0,0.0,24.2,16.8,164.1,1007.9,3.9,9.9,337.7,29.0,9.0,05:54:42,1437998082,20:19:57,1438049997,0.41,Clear,Clear conditions throughout the day.,clear-day,obs,683
7,2015-04-18,1429333200,76.5,67.5,73.1,76.5,67.5,73.1,70.6,91.9,0.0,0.0,0.0,,0.0,0.0,11.4,4.5,204.1,1014.1,52.7,7.3,121.0,10.6,4.0,06:12:44,1429355564,19:12:03,1429402323,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,379
8,2020-09-15,1600146000,91.5,75.2,82.6,95.4,75.2,84.9,67.7,61.7,0.0,0.0,0.0,,0.0,0.0,19.3,10.9,36.3,1015.7,40.3,9.9,220.1,18.8,7.0,07:19:16,1600172356,19:38:50,1600216730,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,6173
9,2017-10-02,1506916800,78.7,55.4,65.7,78.7,55.4,65.7,54.9,71.0,0.0,0.0,0.0,,0.0,0.0,18.3,11.3,43.2,1027.2,27.9,9.9,236.4,20.5,8.0,07:11:41,1506942701,18:58:22,1506985102,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,2999
10,2016-12-15,1481788800,65.3,53.4,58.4,65.3,53.4,58.4,54.1,86.3,0.25,100.0,25.0,['rain'],0.0,0.0,17.2,7.3,78.1,1015.5,48.1,4.0,45.2,3.9,2.0,06:50:22,1481813422,16:44:25,1481849065,0.52,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,obs,2130
11,2017-05-07,1494140400,64.8,55.4,60.2,64.8,55.4,60.2,33.0,36.6,0.01,100.0,4.17,['rain'],0.0,0.0,19.7,18.6,193.3,1007.7,45.8,9.9,359.7,30.8,10.0,05:40:45,1494160845,19:33:16,1494210796,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,obs,2560
12,2016-11-27,1480226400,55.7,40.1,49.7,55.7,35.0,46.8,45.8,86.5,0.12,100.0,8.33,['rain'],0.0,0.0,36.4,23.9,177.3,1007.4,83.2,8.6,19.6,1.7,1.0,07:15:31,1480252531,16:58:37,1480287517,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,obs,2075
13,2019-08-02,1564718400,84.2,68.3,74.8,87.6,68.3,75.5,68.1,81.4,0.02,100.0,4.17,['rain'],0.0,0.0,27.6,5.9,86.4,1018.1,47.4,8.4,197.1,17.1,9.0,06:32:21,1564741941,20:25:53,1564791953,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,obs,4908
14,2020-12-28,1609142400,42.0,34.0,37.9,38.3,30.0,33.9,33.6,84.47,0.96,,75.0,,7.09,11.52,37.8,10.3,200.5,1012.4,90.9,5.6,71.9,6.0,4.0,06:55:05,1609167305,16:47:27,1609202847,0.49,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,obs,6466
15,2018-05-03,1525330800,82.6,52.8,68.0,80.8,52.8,67.7,48.5,53.4,0.0,0.0,0.0,,0.0,0.0,17.5,11.5,225.4,1020.8,6.8,9.9,328.3,28.5,10.0,06:01:20,1525352480,19:47:17,1525402037,0.56,Clear,Clear conditions throughout the day.,clear-day,obs,3664
16,2017-09-25,1506312000,85.6,74.1,78.9,93.0,74.1,81.3,74.3,86.5,0.0,0.0,0.0,,0.0,0.0,,9.2,170.3,1011.4,34.2,9.9,148.7,12.9,5.0,07:20:11,1506338411,19:23:00,1506381780,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,2976
17,2015-04-22,1429678800,78.6,61.0,69.5,78.6,61.0,69.5,62.1,77.9,0.01,100.0,4.17,['rain'],0.0,0.0,23.9,15.1,119.0,1011.4,56.0,9.7,243.7,21.2,8.0,06:51:41,1429703501,20:04:17,1429751057,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,obs,396
18,2020-08-07,1596772800,90.0,80.6,85.4,106.3,87.7,96.0,77.3,77.72,0.03,,4.17,,0.0,0.0,17.2,17.1,178.5,1017.9,26.6,9.7,476.5,25.7,10.0,06:56:59,1596797819,20:15:10,1596845710,0.57,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,obs,6036
19,2017-12-23,1514016000,67.2,41.6,52.3,67.2,40.2,52.1,23.7,35.5,0.0,0.0,0.0,,0.0,0.0,,5.8,156.5,1021.5,3.1,9.9,114.0,9.9,6.0,06:57:38,1514041058,16:49:46,1514076586,0.11,Clear,Clear conditions throughout the day.,clear-day,obs,3234
20,2016-01-27,1453870800,33.8,27.2,30.3,25.1,14.6,20.3,21.7,70.2,0.0,0.0,0.0,,0.0,0.0,29.7,19.2,233.7,1020.4,86.7,9.7,72.8,6.3,3.0,07:51:34,1453899094,17:39:54,1453934394,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,1209
21,2020-02-16,1581840000,65.9,48.0,57.0,65.9,48.0,56.9,47.6,73.3,0.0,0.0,0.0,,0.0,0.0,,10.0,128.6,1018.8,33.3,7.7,163.9,14.3,6.0,06:36:28,1581863788,17:37:37,1581903457,0.78,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,5533
22,2015-09-09,1441785600,62.7,45.1,52.0,62.7,44.3,51.8,43.1,73.9,0.0,0.0,0.0,,0.0,0.0,,10.0,111.8,1000.0,61.3,9.8,72.2,6.2,2.0,06:54:06,1441810446,20:38:56,1441859936,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,816
23,2016-08-29,1472443200,89.2,69.1,78.6,90.3,69.1,79.1,66.3,69.0,0.0,0.0,0.0,,0.0,0.0,,8.9,43.8,1019.8,68.9,9.8,231.2,19.9,8.0,06:44:21,1472467461,19:45:16,1472514316,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,1823
24,2016-10-24,1477285200,67.3,48.6,57.4,67.3,47.8,57.3,45.9,66.5,0.0,0.0,0.0,,0.0,0.0,,9.0,131.6,1025.7,6.4,9.7,181.7,15.7,7.0,07:19:45,1477311585,18:09:42,1477350582,0.84,Clear,Clear conditions throughout the day.,clear-day,obs,1989
25,2019-10-30,1572418800,55.1,34.7,45.3,55.1,28.5,40.8,-6.9,11.26,0.0,,0.0,,0.0,0.0,34.3,26.1,85.0,1025.1,0.2,10.5,330.8,15.5,6.0,07:10:50,1572444650,18:00:35,1572483635,0.04,Clear,Clear conditions throughout the day.,clear-day,obs,5163
26,2018-12-26,1545800400,76.3,54.9,64.6,76.3,54.9,64.6,55.8,75.25,0.0,,0.0,,0.0,0.0,21.5,15.7,55.4,1024.5,15.4,9.9,221.4,12.0,6.0,07:17:25,1545826645,17:39:32,1545863972,0.6,Clear,Clear conditions throughout the day.,clear-day,obs,4322
27,2015-02-02,1422864000,66.5,34.3,47.8,66.5,34.3,47.8,28.1,51.8,0.0,0.0,0.0,,0.0,0.0,16.1,8.1,185.8,1018.6,14.6,9.8,180.5,15.5,7.0,06:45:51,1422888351,17:19:25,1422926365,0.49,Clear,Clear conditions throughout the day.,clear-day,obs,115
28,2015-12-24,1450936800,75.9,57.4,66.6,75.9,57.4,66.6,64.9,94.4,0.0,0.0,0.0,,0.0,0.0,,6.1,105.2,1012.6,71.0,3.9,133.9,11.6,6.0,07:05:12,1450962312,17:07:42,1450998462,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,1120
29,2020-05-26,1590465600,91.1,65.0,78.8,94.3,65.0,80.0,64.9,64.8,0.0,0.0,0.0,,0.0,0.0,,7.8,101.8,1018.7,23.1,9.9,296.4,25.6,9.0,05:30:48,1590485448,20:32:11,1590539531,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,5860
30,2019-06-08,1559977200,86.1,56.5,71.7,83.0,56.5,71.0,39.2,32.1,0.0,0.0,0.0,,0.0,0.0,25.3,14.4,298.3,1013.8,34.0,9.9,307.2,26.6,10.0,05:40:14,1559997614,20:16:34,1560050194,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,4772
31,2015-06-11,1433995200,91.4,70.5,81.0,94.2,70.5,82.3,63.5,56.2,0.0,0.0,0.0,,0.0,0.0,25.3,13.2,233.8,1011.2,22.0,8.9,229.4,19.7,6.0,05:24:00,1434014640,20:27:48,1434068868,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,545
32,2016-05-26,1464238800,91.4,77.3,82.7,104.6,77.3,88.6,75.7,80.3,0.0,0.0,0.0,,0.0,0.0,29.4,17.8,152.8,1009.9,60.3,9.6,242.5,21.2,9.0,06:36:52,1464262612,20:26:51,1464312411,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,1570
33,2018-12-11,1544504400,56.7,33.6,42.9,56.7,32.0,41.0,34.2,76.1,0.0,0.0,0.0,,0.0,0.0,16.1,11.6,287.6,1024.9,19.1,9.1,142.2,12.1,6.0,07:27:22,1544531242,17:29:19,1544567359,0.08,Clear,Clear conditions throughout the day.,clear-day,obs,4288
