longitude,latitude
-123.122,47.247
-122.892,45.487
-97.281,37.695
-122.422,37.763
-104.692,40.384
-97.423,35.877
-111.841,33.328
-97.564,38.704
-91.119,40.809
-79.991,40.413
-121.299,37.93
-95.369,28.955
-82.885,39.999
-93.609,41.582
-90.012,30.022
-108.315,45.859
-111.872,40.772
-92.359,33.111
-112.083,41.083
-91.966,34.542
-106.439,31.858
-88.304,39.692
-118.183,33.951
-115.116,36.185
-106.586,35.095
-98.542,28.912
-93.094,44.958
-90.794,38.317
-76.348,36.783
-74.301,40.405
-95.428,29.031
-111.887,40.54
-85.991,39.826
-104.772,39.726
-93.358,44.825
-121.997,38.266
-92.441,30.748
-96.069,32.407
-122.06,37.588
-95.394,35.766
-118.233,34.038
-97.334,32.811
-112.042,33.085
-82.921,37.565
-70.932,42.257
-111.909,33.509
-116.958,33.742
-99.123,26.559
-90.25,38.665
-71.337,42.908
-105.028,31.08
-94.746,32.495
-80.212,26.15
-102.369,33.578
-97.789,30.167
-111.78,43.826
-76.648,39.284
-97.38,32.678
-104.574,38.285
-74.929,39.749
-104.909,39.754
-93.386,45.036
-101.666,33.166
-119.335,35.589
-95.99,41.243
-112.113,33.495
-109.326,33.054
-82.997,39.879
-97.828,33.47
-95.784,29.558
-121.316,38.029
-85.66,42.894
-97.05,36.121
-108.513,45.79
-95.72,29.861
-76.821,39.38
-117.177,34.417
-83.873,43.599
-76.713,40.273
-90.21,38.75
-122.284,37.827
-121.818,37.999
-82.845,31.523
-84.33,30.466
-81.306,28.5
-111.978,33.378
-111.978,33.378
-97.208,31.397
-89.932,35.164
-117.65,33.953
-97.515,35.404
-117.057,33.994
-81.227,35.266
-149.859,61.208
-97.891,30.244
-74.001,41.152
-81.329,28.482
-97.712,33.787
-68.104,46.159
-96.751,32.655
-90.054,35.025
-107.454,39.573
-119.101,46.228
-121.876,37.316
-85.724,32.864
-117.333,34.165
-94.64,39.071
-75.908,40.329
-88.572,35.95
-110.628,32.614
-76.44,39.299
-99.474,27.554
-88.205,34.804
-122.437,45.175
-80.208,25.951
-111.09,32.359
-116.222,43.579
-111.624,40.103
-81.169,35.229
-93.319,37.225
-84.701,42.514
-71.284,42.614
-100.831,29.369
-80.819,35.25
-97.1,32.874
-86.824,33.482
-86.724,33.564
-95.401,29.983
-105.665,33.448
-85.992,39.793
-80.645,27.99
-90.956,30.455
-84.695,33.911
-83.598,34.631
-86.362,32.53
-75.433,40.632
-95.933,41.244
-88.058,44.527
-97.552,35.497
-115.055,36.241
-81.95,28.104
-122.414,37.751
-89.092,30.425
-83.902,31.55
-87.379,39.463
-117.879,33.747
-82.408,34.633
-90.232,38.598
-110.99,32.23
-92.294,38.946
-77.548,35.918
-114.451,33.619
-84.837,42.756
-95.622,29.704
-88.604,30.789
-118.245,34.043
-88.074,41.522
-75.609,38.38
-111.931,33.44
-81.254,28.887
-121.286,37.948
-87.904,42.968
-118.345,34.151
-96.682,40.875
-89.365,43.083
-104.916,39.735
-81.959,29.743
-112.043,33.469
-117.94,33.819
-97.583,35.426
-75.456,39.818
-84.267,33.88
-82.626,35.269
-109.01,40.246
-80.749,28.351
-81.641,41.45
-91.169,30.536
-81.184,32.165
-117.655,34.05
-75.816,39.573
-90.0,35.158
-117.868,33.743
-114.026,35.204
-87.891,30.862
-86.849,33.417
-118.22,33.939
-76.983,38.882
-122.274,38.306
-94.487,38.947
-117.43,34.078
-118.229,33.971
-80.596,40.331
-87.835,42.583
-98.536,29.513
-90.303,31.326
-93.025,44.954
-81.242,35.204
-122.899,42.33
-78.751,34.64
-122.422,37.789
-95.104,30.815
-121.504,38.682
-112.203,33.582
-84.279,30.461
-119.015,35.376
-87.287,34.566
-81.609,41.529
-116.58,43.704
-81.68,30.379
-122.273,49.0
-119.336,35.355
-90.265,29.993
-96.323,34.506
-109.138,36.466
-112.001,34.713
-78.047,43.19
-87.073,39.534
-82.999,40.03
-122.222,38.133
-122.53,45.506
-73.238,40.74
-121.959,37.361
-76.37,36.819
-121.841,37.302
-88.475,43.782
-84.477,33.866
-79.462,33.819
-118.292,33.94
-112.203,33.638
-94.91,38.818
-118.271,33.793
-119.183,34.228
-78.841,39.469
-71.089,42.313
-117.242,33.05
-80.328,27.435
-119.003,35.396
-71.878,42.056
-85.889,37.735
-83.255,39.083
-114.84,35.974
-123.181,44.091
-82.49,28.102
-94.971,29.733
-76.77,39.115
-118.337,33.902
-74.71,40.217
-90.582,41.5
-95.94,36.184
-92.407,31.346
-88.677,37.176
-78.128,39.191
-87.845,42.452
-117.852,33.836
-106.193,35.056
-80.014,32.899
-112.144,33.655
-118.414,35.127
-86.273,39.681
-90.048,29.877
-112.049,43.642
-97.057,35.339
-98.427,29.489
-83.333,30.845
-118.212,34.041
-121.995,37.404
-86.835,30.413
-86.879,40.879
-77.158,39.859
-82.006,35.023
-96.277,35.954
-122.202,39.935
-95.762,39.054
-96.134,36.092
-86.109,39.813
-97.34,35.404
-78.491,35.064
-90.135,38.892
-96.823,32.662
-90.718,35.834
-80.212,25.844
-81.912,34.904
-95.173,29.806
-92.326,38.948
-105.192,38.446
-117.721,34.051
-119.281,35.5
-87.572,41.761
-116.954,33.744
-90.244,38.724
-112.039,33.48
-85.702,30.171
-84.66,37.868
-102.983,41.122
-98.35,26.282
-122.485,47.16
-81.2,34.073
-118.205,34.072
-74.252,40.713
-76.34,36.83
-109.917,31.401
-73.794,40.71
-97.304,32.769
-105.257,39.938
-118.438,34.323
-95.157,34.133
-118.174,33.781
-122.792,38.375
-122.997,44.914
-94.887,36.897
-104.493,37.176
-97.001,28.878
-73.982,40.725
-81.812,28.567
-94.772,35.745
-119.601,36.211
-117.956,33.696
-83.236,42.366
-82.516,40.739
-89.966,30.019
-88.941,37.731
-97.949,35.04
-111.8,33.39
-121.492,38.37
-84.39,33.752
-77.502,36.611
-86.779,36.054
-117.206,32.754
-106.342,31.694
-75.603,39.28
-109.996,40.306
-96.642,32.958
-96.642,32.958
-106.687,35.052
-83.245,37.38
-119.168,46.202
-118.472,33.988
-118.044,34.054
-80.746,37.058
-78.526,35.951
-84.087,33.933
-73.98,41.518
-118.05,33.874
-110.923,33.079
-76.008,43.266
-90.072,29.86
-93.266,45.07
-122.489,47.229
-76.875,38.902
-97.395,32.661
-81.481,29.973
-81.739,30.213
-117.613,33.655
-157.862,21.31
-85.641,42.229
-81.278,29.85
-89.069,42.25
-121.434,38.552
-87.634,41.603
-117.154,32.802
-82.659,27.82
-105.673,33.357
-77.105,38.873
-92.008,34.967
-108.556,39.074
-76.3,40.042
-87.123,37.724
-95.957,41.324
-81.429,40.965
-105.45,44.302
-106.423,31.904
-80.184,26.107
-80.078,32.858
-74.041,40.901
-79.938,32.778
-79.075,40.033
-93.515,38.658
-109.33,34.094
-83.187,42.386
-97.721,30.332
-86.564,34.614
-73.889,40.657
-93.708,32.517
-122.014,47.838
-74.113,40.444
-97.455,35.634
-83.206,33.344
-118.139,33.785
-116.699,32.751
-80.797,34.794
-104.976,39.894
-85.049,33.59
-83.216,42.14
-74.125,40.812
-95.891,35.842
-123.446,42.36
-111.986,34.69
-86.709,36.126
-122.832,42.311
-95.616,31.734
-77.694,43.208
-71.14,42.276
-97.517,32.869
-96.864,32.301
-95.214,29.619
-74.741,40.953
-119.223,35.787
-106.756,34.751
-120.439,34.97
-79.907,39.623
-82.25,27.059
-121.751,36.905
-102.139,32.009
-104.326,39.734
-122.243,37.809
-80.606,28.084
-122.75,45.903
-86.086,39.722
-117.922,33.847
-112.257,33.631
-83.662,41.037
-95.617,30.031
-84.546,39.164
-93.698,41.623
-73.896,40.856
-80.105,26.276
-86.943,35.633
-80.2,25.787
-98.355,29.523
-74.04,40.907
-86.165,40.469
-85.156,41.098
-85.76,38.235
-96.708,32.648
-121.343,37.977
-80.792,28.36
-119.951,38.951
-119.313,36.305
-98.863,47.937
-86.625,32.886
-103.135,32.732
-73.968,40.576
-71.101,42.351
-84.394,39.156
-104.704,40.427
-87.573,41.766
-117.9,34.129
-95.442,30.03
-80.887,36.229
-121.29,38.677
-82.02,33.415
-80.005,40.409
-86.12,39.826
-97.944,38.063
-97.795,32.736
-96.158,41.278
-76.517,37.179
-76.806,39.411
-119.659,37.08
-74.285,44.743
-98.64,29.418
-94.979,35.909
-122.536,45.536
-74.069,43.208
-83.388,35.194
-123.168,45.23
-123.384,42.646
-71.014,42.053
-117.164,32.99
-81.626,30.3
-80.854,37.859
-118.187,34.671
-75.088,39.963
-80.134,25.813
-117.894,34.024
-97.444,35.414
-83.28,36.196
-76.4,36.984
-115.043,36.057
-121.872,37.662
-97.74,30.269
-118.071,33.833
-97.702,30.38
-97.576,35.418
-71.976,44.153
-118.406,34.322
-120.579,37.339
-118.124,33.857
-95.519,29.595
-111.821,33.405
-96.827,32.758
-119.013,35.307
-98.137,26.259
-74.428,39.369
-94.422,39.137
-85.906,37.718
-122.784,45.469
-81.426,36.446
-112.84,37.839
-112.1,33.597
-87.608,41.759
-122.127,37.15
-94.565,39.001
-118.344,34.059
-115.217,36.144
-83.97,33.576
-87.608,41.702
-121.558,39.092
-105.047,39.701
-97.91,30.247
-87.815,41.881
-106.354,42.834
-80.201,26.118
-84.212,33.823
-122.275,41.2
-70.944,42.472
-118.472,33.999
-81.916,28.579
-80.984,41.289
-85.25,44.103
-88.019,43.036
-80.493,25.462
-94.644,39.048
-85.245,35.096
-104.826,41.117
-86.375,31.288
-117.228,33.939
-122.304,47.676
-114.64,34.884
-89.874,35.05
-97.472,25.897
-81.334,28.522
-105.1,40.565
-112.152,33.553
-101.04,39.398
-84.513,39.122
-94.357,29.83
-122.027,37.556
-84.799,34.313
-80.129,26.19
-81.893,31.679
-89.646,42.6
-74.986,40.097
-97.489,35.495
-84.214,39.804
-78.947,33.708
-105.39,42.72
-121.018,38.975
-93.41,44.985
-118.398,34.143
-80.433,36.329
-90.017,29.956
-84.735,30.849
-115.106,36.159
-82.28,29.505
-93.789,32.482
-82.974,34.693
-81.229,34.077
-90.628,29.542
-105.271,40.018
-90.181,35.886
-106.797,32.312
-111.83,41.738
-119.728,38.906
-122.27,41.236
-97.331,32.754
-118.055,33.972
-106.643,35.073
-104.523,33.395
-81.841,38.402
-110.973,32.272
-95.557,29.689
-122.269,37.827
-76.571,40.279
-77.791,37.511
-85.378,40.176
-117.465,33.299
-88.175,40.308
-85.752,38.253
-88.026,42.972
